Artist,Song,URL
"Earth, Wind & Fire",September,https://www.whosampled.com/Earth%2C-Wind/September/
Mariah Carey,Fantasy,https://www.whosampled.com/Mariah-Carey/Fantasy/
OutKast,Hey Ya!,https://www.whosampled.com/OutKast/Hey-Ya%21/
Nicki Minaj,Super Bass,https://www.whosampled.com/Nicki-Minaj/Super-Bass/
Britney Spears,…Baby One More Time,https://www.whosampled.com/Britney-Spears/%E2%80%A6Baby-One-More-Time/
Prince and the Revolution,Kiss,https://www.whosampled.com/Prince-and-the-Revolution/Kiss/
The Beatles,I Want to Hold Your Hand,https://www.whosampled.com/The-Beatles/I-Want-to-Hold-Your-Hand/
2Pac feat. Dr. Dre,California Love,https://www.whosampled.com/2Pac/California-Love/
Carly Rae Jepsen,Call Me Maybe,https://www.whosampled.com/Carly-Rae-Jepsen/Call-Me-Maybe/
Michael Jackson,Billie Jean,https://www.whosampled.com/Michael-Jackson/Billie-Jean/
Madonna,Like a Prayer,https://www.whosampled.com/Madonna/Like-a-Prayer/
Kelly Clarkson,Since U Been Gone,https://www.whosampled.com/Kelly-Clarkson/Since-U-Been-Gone/
Backstreet Boys,I Want It That Way,https://www.whosampled.com/Backstreet-Boys/I-Want-It-That-Way/
The Temptations,My Girl,https://www.whosampled.com/The-Temptations/My-Girl/
ABBA,Dancing Queen,https://www.whosampled.com/ABBA/Dancing-Queen/
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),https://www.whosampled.com/Whitney-Houston/I-Wanna-Dance-With-Somebody-%28Who-Loves-Me%29/
Van Halen,Jump,https://www.whosampled.com/Van-Halen/Jump/
Mariah Carey,We Belong Together,https://www.whosampled.com/Mariah-Carey/We-Belong-Together/
? and the Mysterians,96 Tears,https://www.whosampled.com/%3F-and-the-Mysterians/96-Tears/
Post Malone,Circles,https://www.whosampled.com/Post-Malone/Circles/
Duran Duran,Hungry Like the Wolf,https://www.whosampled.com/Duran-Duran/Hungry-Like-the-Wolf/
Nelly,Hot in Herre,https://www.whosampled.com/Nelly/Hot-in-Herre/
Boston,More Than a Feeling,https://www.whosampled.com/Boston/More-Than-a-Feeling/
Barry Manilow,Copacabana,https://www.whosampled.com/Barry-Manilow/Copacabana/
No Doubt,Just a Girl,https://www.whosampled.com/No-Doubt/Just-a-Girl/
Dolly Parton,9 to 5,https://www.whosampled.com/Dolly-Parton/9-to-5/
Smokey Robinson & The Miracles,The Tears of a Clown,https://www.whosampled.com/Smokey-Robinson/The-Tears-of-a-Clown/
Pet Shop Boys,West End Girls,https://www.whosampled.com/Pet-Shop-Boys/West-End-Girls/
Tommy James and the Shondells,Crimson and Clover,https://www.whosampled.com/Tommy-James-and-the-Shondells/Crimson-and-Clover/
Juice WRLD,Lucid Dreams,https://www.whosampled.com/Juice-WRLD/Lucid-Dreams/
Madonna,Vogue,https://www.whosampled.com/Madonna/Vogue/
Boyz II Men,I’ll Make Love to You,https://www.whosampled.com/Boyz-II-Men/I%27ll-Make-Love-to-You/
Elton John,Bennie and the Jets,https://www.whosampled.com/Elton-John/Bennie-and-the-Jets/
Juvenile feat. Mannie Fresh & Lil Wayne,Back That Azz Up,https://www.whosampled.com/Juvenile/Back-That-Azz-Up/
Sam Cooke,Wonderful World,https://www.whosampled.com/Sam-Cooke/Wonderful-World/
Raspberries,Go All the Way,https://www.whosampled.com/Raspberries/Go-All-the-Way/
Ricky Martin,Livin’ La Vida Loca,https://www.whosampled.com/Ricky-Martin/Livin%27-La-Vida-Loca/
Bill Withers,Ain’t No Sunshine,https://www.whosampled.com/Bill-Withers/Ain%27t-No-Sunshine/
Steve Lacy,Bad Habit,https://www.whosampled.com/Steve-Lacy/Bad-Habit/
Daft Punk,One More Time,https://www.whosampled.com/Daft-Punk/One-More-Time/
Sia,Chandelier,https://www.whosampled.com/Sia/Chandelier/
Run-D.M.C.,It’s Tricky,https://www.whosampled.com/Run-D.M.C./It%27s-Tricky/
The Jackson 5,ABC,https://www.whosampled.com/The-Jackson-5/ABC/
Doja Cat,Say So,https://www.whosampled.com/Doja-Cat/Say-So/
Dexy’s Midnight Runners,Come on Eileen,https://www.whosampled.com/Dexy%27s-Midnight-Runners/Come-on-Eileen/
Carpenters,(They Long to Be) Close to You,https://www.whosampled.com/Carpenters/%28They-Long-to-Be%29-Close-to-You/
Robin S.,Show Me Love,https://www.whosampled.com/Robin-S./Show-Me-Love/
The Kingsmen,Louie Louie,https://www.whosampled.com/The-Kingsmen/Louie-Louie/
*NSYNC,Tearin’ Up My Heart,https://www.whosampled.com/%2ANSYNC/Tearin%27-Up-My-Heart/
Beyoncé,Love on Top,https://www.whosampled.com/Beyonc%C3%A9/Love-on-Top/
Coolio,Gangsta’s Paradise,https://www.whosampled.com/Coolio/Gangsta%27s-Paradise/
Johnny Nash,I Can See Clearly Now,https://www.whosampled.com/Johnny-Nash/I-Can-See-Clearly-Now/
Don Henley,The Boys of Summer,https://www.whosampled.com/Don-Henley/The-Boys-of-Summer/
