Artist,Song
CeCe Peniston,Finally
Modern English,I Melt With You
Flo Rida feat. T-Pain,Low
Sister Sledge,We Are Family
Billy Joel,Uptown Girl
House of Pain,Jump Around
Janet Jackson,All for You
Aretha Franklin,(You Make Me Feel Like) A Natural Woman
Toni Braxton,You’re Makin’ Me High
Joe Jackson,Is She Really Going Out With Him?
Maroon 5,This Love
Diana Ross,I’m Coming Out
The 5th Dimension,Aquarius/Let the Sunshine In
Walk the Moon,Shut Up and Dance
Ice Cube,It Was a Good Day
Thelma Houston,Don’t Leave Me This Way
Spiral Starecase,More Today Than Yesterday
Dionne Warwick,I Say a Little Prayer
LEN,Steal My Sunshine
Sylvester,You Make Me Feel (Mighty Real)
Jordin Sparks & Chris Brown,No Air
Chief Keef feat. Lil Reese,I Don’t Like
Kim Carnes,Bette Davis Eyes
Candi Staton,Young Hearts Run Free
t.A.T.u.,All the Things She Said
Alicia Keys,If I Ain’t Got You
The Righteous Brothers,You’ve Lost That Lovin’ Feelin'
Ike & Tina Turner,Proud Mary
Bonnie Raitt,Something to Talk About
Lana Del Rey vs. Cedric Gervais,Summertime Sadness
Shannon,Let the Music Play
Edison Lighthouse,Love Grows (Where My Rosemary Goes)
Marc Cohn,Walking in Memphis
Bananarama,Cruel Summer
Daryl Hall & John Oates,She’s Gone
Snoop Dogg feat. Pharrell,Drop It Like It’s Hot
Labelle,Lady Marmalade
The Marvelettes,Please Mr. Postman
Donna Summer,Bad Girls
Donna Lewis,I Love You Always Forever
Wizkid feat. Tems,Essence
LL Cool J,Mama Said Knock You Out
Sheryl Crow,All I Wanna Do
Odyssey,Native New Yorker
Martha & The Vandellas,Dancing in the Street
C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now)
Fountains of Wayne,Stacy’s Mom
