Artist,Song,Samples
The Police,Every Breath You Take,No samples found.
Montell Jordan,This Is How We Do It,"[Children's Story by Slick Rick], [Money (Dollar Bill Y'all) by Jimmy Spicer]"
John Mellencamp,Jack & Diane,No samples found.
Blue Swede,Hooked on a Feeling,No samples found.
Louis Armstrong,What a Wonderful World,No samples found.
Shakira feat. Wyclef Jean,Hips Don’t Lie,[Dance Like This by Wyclef Jean feat. Claudette Ortiz]
Lizzo,Truth Hurts,No samples found.
The Supremes,You Can’t Hurry Love,No samples found.
Freda Payne,Band of Gold,No samples found.
Lionel Richie,All Night Long (All Night),No samples found.
Fun. feat. Janelle Monáe,We Are Young,No samples found.
Tracy Chapman,Fast Car,No samples found.
Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,"[Smile Happy by War], [No Loyal Men by Eddie Murphy]"
Depeche Mode,Enjoy the Silence,[That's the Way Love Is (Deep House Mix-Extended Version) by Ten City]
Enrique Iglesias feat. Descemer Bueno & Gente de Zona,Bailando,No samples found.
Simon & Garfunkel,Mrs. Robinson,No samples found.
Wham!,Wake Me Up Before You Go-Go,No samples found.
Britney Spears,Oops!…I Did It Again,No samples found.
TLC,Waterfalls,No samples found.
Cheap Trick,I Want You to Want Me,No samples found.
Migos feat. Lil Uzi Vert,Bad and Boujee,[Jumpman by Drake and Future]
America,Sister Golden Hair,No samples found.
Mary J. Blige,Real Love,[Top Billin' by Audio Two]
DMX,Party Up (Up in Here),No samples found.
Dua Lipa,Levitating,No samples found.
Bee Gees,How Deep Is Your Love,No samples found.
JoJo,Leave (Get Out),No samples found.
Pointer Sisters,I’m So Excited,No samples found.
Frank Ocean,Thinkin Bout You,No samples found.
Disclosure feat. Sam Smith,Latch,[Fairplay by Zed Bias feat. Jenna G]
The Crystals,Then He Kissed Me,No samples found.
Lauryn Hill,Doo-Wop (That Thing),[Together Let's Find Love by The 5th Dimension]
The Foundations,Build Me Up Buttercup,No samples found.
David Bowie,Modern Love,No samples found.
John Travolta & Olivia Newton-John,You’re the One That I Want,No samples found.
Chubby Checker,The Twist,No samples found.
Ray Charles,Hit the Road Jack,No samples found.
Rae Sremmurd feat. Gucci Mane,Black Beatles,No samples found.
Fall Out Boy,"Sugar, We’re Going Down",No samples found.
The Rolling Stones,Miss You,No samples found.
Rick Astley,Never Gonna Give You Up,No samples found.
The Chicks,Goodbye Earl,No samples found.
The Cardigans,Lovefool,No samples found.
Daddy Yankee,Gasolina,No samples found.
David Guetta feat. Sia,Titanium,[Sticks and Stones by Traditional Folk]
Salt-n-Pepa,Shoop,"[I'm Blue by The Sweet Inspirations], [Sneakin' in the Back by Tom Scott and The L.A. Express], [Super Sporm by Captain Sky], [You Do Something to Me by Bing Crosby]"
Neneh Cherry,Buffalo Stance,"[Chicken Yellow by Miami], [Buffalo Gals by Malcolm McLaren], [Hey You (The Rock Steady Crew) by The Rock Steady Crew]"
Psy,Gangnam Style,No samples found.
Corinne Bailey Rae,Put Your Records On,No samples found.
Beck,Loser,"[I Walk on Guilded Splinters by Johnny Jenkins], [I'm the Driver, I'm the Winner by Kill the Moonlight (movie)]"
Bruce Springsteen,Dancing in the Dark,No samples found.
Daryl Hall & John Oates,You Make My Dreams,No samples found.
The Cure,Just Like Heaven,No samples found.
Kanye West feat. Jamie Foxx,Gold Digger,"[I've Got a Woman by Ray Charles], [Bumpin' Bus Stop by Thunder and Lightning], [Another Story to Tell by Mase]"
Whitney Houston,How Will I Know,No samples found.
Christina Aguilera,Genie in a Bottle,No samples found.
Petula Clark,Downtown,No samples found.
Charli XCX,Boom Clap,No samples found.
Avril Lavigne,Sk8er Boi,No samples found.
The Lovin’ Spoonful,Do You Believe in Magic,No samples found.
Ace of Base,The Sign,No samples found.
SZA,Kill Bill,No samples found.
The Spinners,Could It Be I’m Falling in Love?,No samples found.
Aqua,Barbie Girl,[Give It Up by The Goodmen]
Carole King,It’s Too Late,No samples found.
Soulja Boy,Crank That (Soulja Boy),No samples found.
