Artist,Song,Samples
Fugees,Killing Me Softly,"[Memory Band by Rotary Connection],[Bonita Applebum by A Tribe Called Quest]"
Beyoncé,Single Ladies (Put a Ring on It),No samples found
The Miracles,The Tracks of My Tears,No samples found
Justin Timberlake,SexyBack,[Burnin' Up 2.0 (Vogue Remix) by Sun Afrika (Ft. Loleatta Holloway)]
Lil Nas X feat. Billy Ray Cyrus,Old Town Road (Remix),No samples found
Don McLean,American Pie,No samples found
The Beach Boys,God Only Knows,No samples found
Dionne Warwick,Walk on By,No samples found
Madonna,Borderline,No samples found
Prince,Little Red Corvette,No samples found
Snoop Dogg,Gin and Juice,"[I Get Lifted by George McCrae],[Long Red (Live at Woodstock, Bethel, NY - August 1969) by Mountain],[Bitches Ain’t Shit by Dr. Dre (Ft. Tha Dogg Pound, Jewell & Snoop Dogg)],[Watching You by Slave]"
Lady Gaga,Born This Way,No samples found
M.I.A.,Paper Planes,"[Hey Ma by Cam'ron (Ft. Freekey Zekey, Juelz Santana & Toya)],[Straight to Hell by The Clash],[Cash Register by All Sounds]"
Daft Punk feat. Pharrell,Get Lucky,No samples found
Harry Styles,As It Was,[Take On Me by a-ha]
Bonnie Tyler,Total Eclipse of the Heart,No samples found
Tom Petty,Free Fallin',No samples found
The Rolling Stones,(I Can’t Get No) Satisfaction,No samples found
Jay-Z feat. Alicia Keys,Empire State of Mind,No samples found
Neil Diamond,Sweet Caroline,No samples found
Cyndi Lauper,Time After Time,No samples found
Brandy & Monica,The Boy Is Mine,No samples found
INXS,Need You Tonight,No samples found
Michael Jackson,Don’t Stop ‘Til You Get Enough,No samples found
The Cars,Just What I Needed,No samples found
Lorde,Royals,No samples found
Nirvana,Smells Like Teen Spirit,"[Wild Thing by The Troggs],[Burn Rubber on Me (Why You Wanna Hurt Me) by The Gap Band]"
Nancy Sinatra,These Boots Are Made for Walkin',No samples found
Huey Lewis & The News,The Power of Love,No samples found
Rihanna feat. Calvin Harris,We Found Love,No samples found
Jimmy Buffett,Margaritaville,No samples found
Toto,Africa,No samples found
George Michael,Faith,[Freedom by Wham!]
The Black Eyed Peas,I Gotta Feeling,No samples found
Marvin Gaye,What’s Going On,No samples found
Sugarhill Gang,Rapper’s Delight,"[Here Comes That Sound Again by Love de-luxe],[Good Times by Chic]"
Annie Lennox,Walking on Broken Glass,No samples found
Lil Uzi Vert,XO Tour Llif3,No samples found
Kool & The Gang,Celebration,No samples found
Lipps Inc.,Funkytown,No samples found
Commodores,Brick House,No samples found
Adele,Someone Like You,No samples found
Paramore,Still Into You,No samples found
Sly & The Family Stone,Everyday People,No samples found
Drake,Best I Ever Had,"[Fallin' in Love by Hamilton, Joe Frank & Reynolds]"
La Roux,Bulletproof,No samples found
Bob Seger,Night Moves,No samples found
Ghost Town DJ’s,My Boo,No samples found
The Beatles,Hey Jude,No samples found
The Police,Every Breath You Take,No samples found
Montell Jordan,This Is How We Do It,"[Children's Story by Slick Rick],[Hihache by Lafayette Afro Rock Band],[Money (Dollar Bill, Y'all) by Jimmy Spicer],[Funky President (People It's Bad) by James Brown]"
John Mellencamp,Jack & Diane,No samples found
Blue Swede,Hooked on a Feeling,No samples found
Louis Armstrong,What a Wonderful World,No samples found
Shakira feat. Wyclef Jean,Hips Don’t Lie,No samples found
Lizzo,Truth Hurts,No samples found
The Supremes,You Can’t Hurry Love,No samples found
Celine Dion,My Heart Will Go On,No samples found
Freda Payne,Band of Gold,No samples found
Lionel Richie,All Night Long (All Night),[Rumora by La Tigresa Del Norte]
Fun. feat. Janelle Monáe,We Are Young,No samples found
Tracy Chapman,Fast Car,No samples found
Cornelius Brothers & Sister Rose,Too Late to Turn Back Now,No samples found
Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,No samples found
Depeche Mode,Enjoy the Silence,[Stone by Recoil]
Enrique Iglesias feat. Descemer Bueno & Gente de Zona,Bailando,No samples found
Simon & Garfunkel,Mrs. Robinson,No samples found
Wham!,Wake Me Up Before You Go-Go,No samples found
Britney Spears,Oops!…I Did It Again,[The Big Beat by Billy Squier]
TLC,Waterfalls,No samples found
Cheap Trick,I Want You to Want Me,No samples found
Migos feat. Lil Uzi Vert,Bad and Boujee,No samples found
America,Sister Golden Hair,No samples found
Mary J. Blige,Real Love,[Top Billin' by Audio Two]
DMX,Party Up (Up in Here),No samples found
Dua Lipa,Levitating,No samples found
Bee Gees,How Deep Is Your Love,No samples found
JoJo,Leave (Get Out),No samples found
Pointer Sisters,I’m So Excited,[Cockney Medley by Bill Bailey]
Turtles,Happy Together,No samples found
Frank Ocean,Thinkin Bout You,[Pillow Talk by Kid Cudi]
Disclosure feat. Sam Smith,Latch,No samples found
The Crystals,Then He Kissed Me,No samples found
Lauryn Hill,Doo-Wop (That Thing),[Together Let's Find Love by The 5th Dimension]
The Foundations,Build Me Up Buttercup,No samples found
David Bowie,Modern Love,No samples found
John Travolta & Olivia Newton-John,You’re the One That I Want,No samples found
Chubby Checker,The Twist,No samples found
Ray Charles,Hit the Road Jack,No samples found
Rae Sremmurd feat. Gucci Mane,Black Beatles,No samples found
Fall Out Boy,"Sugar, We’re Going Down",No samples found
The Rolling Stones,Miss You,No samples found
Rick Astley,Never Gonna Give You Up,No samples found
The Chicks,Goodbye Earl,No samples found
The Cardigans,Lovefool,No samples found
Daddy Yankee,Gasolina,"[Cójela Que Va Sin Jockey by Daddy Yankee],[El Maquinon (Short Versión) by Noztra]"
David Guetta feat. Sia,Titanium,No samples found
Salt-n-Pepa,Shoop,"[Sneakin' in the Back by Tom Scott and The L.A. Express],[Super Sporm by Captain Sky],[I'm Blue by The Ikettes]"
Neneh Cherry,Buffalo Stance,"[(Hey You) The Rock Steady Crew by The Rock Steady Crew],[Buffalo Gals by Malcolm McLaren & The World's Famous Supreme Team]"
Psy,Gangnam Style,No samples found
Corinne Bailey Rae,Put Your Records On,No samples found
Beck,Loser,[I Walk On Gilded Splinters by Johnny Jenkins]
Bruce Springsteen,Dancing in the Dark,No samples found
Temptations,Just My Imagination (Running Away With Me),No samples found
Daryl Hall & John Oates,You Make My Dreams,No samples found
The Cure,Just Like Heaven,No samples found
Kanye West feat. Jamie Foxx,Gold Digger,No samples found
Whitney Houston,How Will I Know,No samples found
Christina Aguilera,Genie in a Bottle,No samples found
